"Criterio","Dominio","Titulo","Objetivo","Capas","Colectores","ColectoresEjecutados","NivelCobertura","Estado","Conformidad","TotalHallazgos","Criticos","Altos"
"INV-01","INV - Inventario y gobierno de activos","Inventario de activos de software y hardware","Levantar el inventario completo de artefactos con descripcion, ruta y rol arquitectonico.","L1, L2, L3, L4","L1-01, L2-01, L3-01, L4-01, L4-02, L4-06","L1-01","Total","Evidencia parcial","Conforme","0","0","0"
"INV-02","INV - Inventario y gobierno de activos","Propiedad y responsabilidad de activos","Verificar que el servidor y sus aplicaciones de negocio tengan dueno declarado en la linea base.","L4","L4-06","","Parcial","Sin evidencia","No evaluado","0","0","0"
"INV-03","INV - Inventario y gobierno de activos","Software autorizado y uso aceptable","Detectar software fuera de politica y artefactos sin proposito declarado.","L4","L4-01, L4-03, L4-06","","Parcial","Sin evidencia","No evaluado","0","0","0"
"INV-04","INV - Inventario y gobierno de activos","Licenciamiento y derechos de uso","Verificar el estado de activacion del sistema operativo y la procedencia declarada del software.","L2, L4","L2-01, L4-01","","Parcial","Sin evidencia","No evaluado","0","0","0"
"ARQ-01","ARQ - Arquitectura y configuracion","Linea base de configuracion segura","Contrastar la configuracion del sistema y sus servicios contra una linea base segura.","L1, L2, L3, L5","L1-01, L2-01, L2-03, L3-01, L5-01","L1-01","Total","Evidencia parcial","Conforme con observaciones","2","0","0"
"ARQ-02","ARQ - Arquitectura y configuracion","Conformidad con el rol arquitectonico declarado","Clasificar cada artefacto por rol y capa de arquitectura, y evaluar su alineacion con el rol del servidor.","L4","L4-06","","Total","Sin evidencia","No evaluado","0","0","0"
"ARQ-03","ARQ - Arquitectura y configuracion","Separacion de entornos","Detectar SDK, compiladores y herramientas de desarrollo en un servidor declarado como productivo.","L3, L4","L3-01, L4-02, L4-06","","Indicio","Sin evidencia","No evaluado","0","0","0"
"ARQ-04","ARQ - Arquitectura y configuracion","Sincronizacion de reloj","Verificar el servicio de tiempo y que apunte a una fuente NTP autorizada.","L2","L2-01","","Total","Sin evidencia","No evaluado","0","0","0"
"SW-01","SW - Gestion de software","Procedencia e integridad de los artefactos","Verificar firma Authenticode y registrar el hash SHA256 de cada binario como linea base comparable.","L4","L4-03, L4-04","","Total","Sin evidencia","No evaluado","0","0","0"
"SW-02","SW - Gestion de software","Ciclo de vida y soporte del proveedor","Detectar software y componentes de plataforma fuera de soporte, y versiones duplicadas.","L3, L4","L3-01, L4-05","","Parcial","Sin evidencia","No evaluado","0","0","0"
