"Control","Tema","Titulo","Objetivo","Capas","Colectores","ColectoresEjecutados","NivelCobertura","Estado","Conformidad","TotalHallazgos","Criticos","Altos"
"A.5.9","Organizacional","Inventario de informacion y otros activos asociados","Identificar y mantener un inventario de activos, incluido el software instalado, con su ubicacion, descripcion y propietario.","L1, L2, L3, L4","L1-01, L2-01, L3-01, L4-01, L4-02, L4-06","L1-01, L2-01, L3-01, L4-01, L4-02, L4-06","Total","Evidenciado","No conforme","10","0","3"
"A.5.10","Organizacional","Uso aceptable de la informacion y otros activos asociados","Detectar software fuera de politica instalado en el servidor y artefactos sin proposito declarado.","L4","L4-01, L4-03, L4-06","L4-01, L4-03, L4-06","Parcial","Evidenciado","Conforme con observaciones","2","0","0"
"A.5.15","Organizacional","Control de acceso","Verificar reglas de acceso logico a sistemas y recursos compartidos.","L6, L7","L6-01, L7-01","L6-01, L7-01","Parcial","Evidenciado","No conforme","4","0","2"
"A.5.16","Organizacional","Gestion de identidad","Identificar cuentas locales, huerfanas o inactivas.","L6","L6-01","L6-01","Parcial","Evidenciado","Conforme con observaciones","4","0","0"
"A.5.17","Organizacional","Informacion de autenticacion","Evaluar politica de contrasenas, caducidad y almacenamiento de credenciales.","L6","L6-01","L6-01","Parcial","Evidenciado","No conforme","5","0","2"
"A.5.18","Organizacional","Derechos de acceso","Revisar membresias de grupos privilegiados locales y su vigencia.","L6","L6-01","L6-01","Parcial","Evidenciado","Conforme con observaciones","3","0","0"
"A.5.21","Organizacional","Gestion de la seguridad en la cadena de suministro de TIC","Identificar repositorios de paquetes de terceros marcados como confiables y la dependencia de proveedores.","L4","L4-02, L4-05","L4-02, L4-05","Indicio","Evidenciado","Conforme con observaciones","1","0","0"
"A.5.23","Organizacional","Seguridad de la informacion en servicios en la nube","Detectar agentes de sincronizacion en nube no autorizados que constituyan canales de datos fuera de control.","L4","L4-01","L4-01","Indicio","Evidenciado","Conforme","0","0","0"
"A.5.25","Organizacional","Evaluacion y decision sobre eventos de seguridad de la informacion","Senalar indicadores de compromiso que deben escalarse al proceso de gestion de incidentes.","L4, L5, L8","L4-03, L4-04, L5-02, L8-01","L4-03, L4-04, L5-02, L8-01","Indicio","Evidenciado","No conforme","1","0","1"
"A.5.28","Organizacional","Recoleccion de evidencia","Verificar retencion e integridad de los registros que constituirian evidencia ante un incidente.","L8","L8-01","L8-01","Parcial","Evidenciado","Conforme con observaciones","1","0","0"
"A.5.30","Organizacional","Preparacion de las TIC para la continuidad de negocio","Verificar existencia de respaldos, instantaneas y capacidad de recuperacion.","L8","L8-01","L8-01","Parcial","Evidenciado","Conforme con observaciones","1","0","0"
"A.5.32","Organizacional","Derechos de propiedad intelectual","Verificar el estado de activacion del sistema operativo y la procedencia declarada del software instalado.","L2, L4","L2-01, L4-01","L2-01, L4-01","Parcial","Evidenciado","Conforme","0","0","0"
"A.5.37","Organizacional","Procedimientos operativos documentados","Identificar automatizaciones no documentadas (tareas programadas y autoarranque sin dueno).","L5","L5-02","L5-02","Indicio","Evidenciado","Conforme con observaciones","1","0","0"
"A.7.9","Fisico","Seguridad de los activos fuera de las instalaciones","Verificar cifrado de volumenes para activos moviles o alojados fuera del centro de datos propio.","L1, L2","L1-01, L2-03","L1-01, L2-03","Indicio","Evidenciado","Conforme","0","0","0"
"A.7.10","Fisico","Medios de almacenamiento","Inventariar volumenes y detectar medios extraibles conectados al servidor.","L1, L8","L1-01, L8-01","L1-01, L8-01","Parcial","Evidenciado","Conforme","0","0","0"
"A.8.1","Tecnologico","Dispositivos finales de usuario","Verificar la configuracion de proteccion del dispositivo y su firmware.","L1, L2","L1-01, L2-03","L1-01, L2-03","Parcial","Evidenciado","Conforme con observaciones","1","0","0"
"A.8.2","Tecnologico","Derechos de acceso privilegiado","Enumerar administradores locales, cuentas de servicio privilegiadas y tareas con privilegio maximo.","L6, L5","L6-01, L5-01","L6-01, L5-01","Total","Evidenciado","No conforme","4","0","2"
"A.8.3","Tecnologico","Restriccion de acceso a la informacion","Revisar permisos de recursos compartidos de red y su alcance.","L7","L7-01","L7-01","Parcial","Evidenciado","No conforme","1","0","1"
"A.8.5","Tecnologico","Autenticacion segura","Verificar NLA en RDP, bloqueo de cuentas, longitud de contrasena y cifrado del canal de administracion.","L6, L7","L6-01, L7-01","L6-01, L7-01","Parcial","Evidenciado","No conforme","5","0","3"
"A.8.6","Tecnologico","Gestion de la capacidad","Medir uso de CPU, memoria y almacenamiento frente a umbrales definidos.","L9, L8","L9-01, L8-01","L9-01, L8-01","Total","Evidenciado","Conforme con observaciones","3","0","0"
"A.8.7","Tecnologico","Proteccion contra codigo malicioso","Verificar estado del antimalware, vigencia de firmas, proteccion en tiempo real y alcance de las exclusiones.","L2","L2-03","L2-03","Total","Evidenciado","No conforme","1","0","1"
"A.8.8","Tecnologico","Gestion de vulnerabilidades tecnicas","Evaluar latencia de parcheo del SO y detectar software y componentes fuera de soporte del proveedor.","L2, L3, L4","L2-02, L3-01, L4-05","L2-02, L3-01, L4-05","Parcial","Evidenciado","No conforme","9","2","3"
