"Criterio","Dominio","Titulo","Descripcion","Objetivo","Cobertura","Capas","Colectores"
"INV-01","INV - Inventario y gobierno de activos","Inventario de activos de software y hardware","Debe existir y mantenerse un inventario exacto y actualizado de los componentes de hardware y software del activo, incluida su ubicacion fisica en disco, su version y su procedencia.","Levantar el inventario completo de artefactos con descripcion, ruta y rol arquitectonico.","Total","L1, L2, L3, L4","L1-01, L2-01, L3-01, L4-01, L4-02, L4-06"
"INV-03","INV - Inventario y gobierno de activos","Software autorizado y uso aceptable","Solo debe residir en el activo software autorizado y acorde con el proposito del servidor. Debe existir una politica que defina que es aceptable instalar y usar.","Detectar software fuera de politica y artefactos sin proposito declarado.","Parcial","L4","L4-01, L4-03, L4-06"
"ARQ-01","ARQ - Arquitectura y configuracion","Linea base de configuracion segura","La configuracion del hardware, sistema operativo, servicios y red debe estar documentada, implementada conforme a una linea base endurecida, y revisarse periodicamente.","Contrastar la configuracion del sistema y sus servicios contra una linea base segura.","Total","L1, L2, L3, L5","L1-01, L2-01, L2-03, L3-01, L5-01"
"ARQ-03","ARQ - Arquitectura y configuracion","Separacion de entornos","Los entornos de desarrollo, prueba y produccion deben estar separados. Un servidor productivo no debe alojar herramientas de construccion de software ni datos de otros entornos.","Detectar SDK, compiladores y herramientas de desarrollo en un servidor declarado como productivo.","Indicio","L3, L4","L3-01, L4-02, L4-06"
"ARQ-04","ARQ - Arquitectura y configuracion","Sincronizacion de reloj","El reloj del sistema debe sincronizarse con una fuente de tiempo autorizada, condicion necesaria para que los registros tengan valor probatorio y sean correlacionables.","Verificar el servicio de tiempo y que apunte a una fuente NTP autorizada.","Total","L2","L2-01"
"SW-02","SW - Gestion de software","Ciclo de vida y soporte del proveedor","El software instalado debe contar con soporte vigente del proveedor. Los productos fuera de soporte no reciben correcciones de seguridad y requieren plan de tratamiento del riesgo.","Detectar software y componentes de plataforma fuera de soporte, y versiones duplicadas.","Parcial","L3, L4","L3-01, L4-05"
"SW-03","SW - Gestion de software","Control de instalacion de software","CRITERIO EJE DE ESTA AUDITORIA. La instalacion de software en el activo debe estar controlada: solo software autorizado, instalado por un mecanismo gestionado, con origen verificable y registrado en el inventario.","Inventariar, ubicar y verificar todo artefacto de software, incluidos los instalados fuera del registro gestionado.","Total","L4, L5","L4-01, L4-02, L4-03, L4-04, L4-06, L5-01, L5-02"
"SW-04","SW - Gestion de software","Cadena de suministro y repositorios de paquetes","Los repositorios y gestores de paquetes desde los que se obtiene software deben ser controlados por la organizacion o estar formalmente aprobados, evitando la instalacion desde fuentes publicas sin validacion.","Identificar gestores de paquetes, repositorios marcados como confiables y concentracion de proveedores.","Indicio","L4","L4-02, L4-05"
"SW-05","SW - Gestion de software","Codigo operativo, scripts y utilitarios privilegiados","El codigo operativo desplegado en el activo debe estar bajo control de versiones y firmado. El uso de utilitarios capaces de anular controles del sistema debe restringirse y registrarse.","Detectar scripts sin firma ni trazabilidad, y utilitarios capaces de eludir controles.","Parcial","L4, L5","L4-03, L5-01"
"VUL-01","VUL - Vulnerabilidades y proteccion","Gestion de vulnerabilidades tecnicas y parcheo","Debe obtenerse informacion sobre las vulnerabilidades tecnicas de los componentes en uso, evaluarse la exposicion del activo y aplicarse las correcciones dentro de plazos definidos.","Medir la latencia de parcheo del sistema operativo y detectar correcciones pendientes o no efectivas.","Parcial","L2, L3, L4","L2-02, L3-01, L4-05"
"VUL-02","VUL - Vulnerabilidades y proteccion","Proteccion contra codigo malicioso","El activo debe contar con proteccion antimalware activa, con definiciones actualizadas, proteccion en tiempo real habilitada y exclusiones justificadas y acotadas.","Verificar estado del antimalware, vigencia de firmas y alcance de las exclusiones configuradas.","Total","L2","L2-03"
"ACC-01","ACC - Identidad y control de acceso","Gestion de identidades y cuentas","El ciclo de vida de las cuentas debe gestionarse: alta, modificacion y baja oportuna. No deben persistir cuentas huerfanas, inactivas o sin proposito identificable.","Identificar cuentas locales inactivas, nunca usadas o sin responsable.","Parcial","L6","L6-01"
"ACC-02","ACC - Identidad y control de acceso","Acceso privilegiado","La asignacion y el uso de privilegios administrativos deben restringirse al minimo necesario, revisarse periodicamente y aplicarse tambien a las cuentas de servicio y tareas automatizadas.","Enumerar administradores locales, cuentas de servicio privilegiadas y automatizaciones con privilegio maximo.","Total","L5, L6","L5-01, L5-02, L6-01"
"ACC-03","ACC - Identidad y control de acceso","Autenticacion y gestion de credenciales","Los mecanismos de autenticacion deben ser robustos: longitud minima de contrasena adecuada, caducidad y rotacion definidas, bloqueo por intentos fallidos y ausencia de almacenamiento debil de credenciales.","Evaluar politica de contrasenas, bloqueo de cuentas y robustez del canal de autenticacion.","Parcial","L6, L7","L6-01, L7-01"
"ACC-04","ACC - Identidad y control de acceso","Restriccion de acceso a la informacion","El acceso a la informacion y a los recursos compartidos debe restringirse conforme a la politica de control de acceso, aplicando privilegio minimo tanto en la comparticion como en el sistema de archivos.","Revisar permisos de recursos compartidos de red y su alcance efectivo.","Parcial","L6, L7","L6-01, L7-01"
"RED-01","RED - Red y exposicion","Superficie de exposicion y filtrado de host","El filtrado de red en el host debe estar activo en todos los perfiles, con politica entrante restrictiva por defecto y reglas acotadas al puerto y origen estrictamente requeridos.","Verificar el estado del firewall por perfil y la superficie de escucha del servidor.","Total","L2, L7","L2-03, L7-01"
"RED-02","RED - Red y exposicion","Servicios y protocolos de red","Los servicios de red expuestos deben ser los minimos necesarios y emplear protocolos con cifrado y autenticacion. Los protocolos heredados o sin cifrado deben estar deshabilitados.","Identificar servicios expuestos y protocolos heredados o en texto claro habilitados.","Parcial","L2, L7","L2-03, L7-01"
"RED-03","RED - Red y exposicion","Segmentacion de red","Los servicios de administracion y de datos deben estar segregados de las redes de usuario, limitando el alcance de escucha de los servicios sensibles.","Revisar interfaces, perfiles de red y alcance de escucha de los servicios sensibles.","Indicio","L7","L7-01"
"CRI-01","CRI - Criptografia","Cifrado de la informacion en reposo","La informacion almacenada debe protegerse mediante cifrado acorde a su clasificacion, especialmente en activos que puedan salir del perimetro fisico controlado.","Verificar el cifrado de los volumenes del servidor.","Parcial","L1, L2","L1-01, L2-03"
"CRI-02","CRI - Criptografia","Protocolos y algoritmos criptograficos","Deben emplearse unicamente protocolos y algoritmos criptograficos vigentes. Los protocolos con debilidades conocidas deben estar explicitamente deshabilitados.","Revisar los protocolos TLS/SChannel habilitados y detectar algoritmos debiles o heredados.","Parcial","L2, L7","L2-03, L7-01"
"REG-01","REG - Registro y monitoreo","Registro de eventos","Deben registrarse las actividades, excepciones y eventos relevantes del activo, con capacidad de almacenamiento suficiente, politica de retencion definida y proteccion frente a borrado.","Verificar tamano, modo de retencion y cobertura de la politica de auditoria de los registros.","Total","L2, L8","L2-03, L8-01"
"REG-02","REG - Registro y monitoreo","Monitoreo y deteccion de anomalias","El activo debe monitorearse para detectar comportamientos anomalos, y los eventos relevantes deben evaluarse para determinar si constituyen incidentes.","Detectar indicadores de compromiso, persistencia no documentada y anomalias operativas.","Parcial","L4, L5, L8, L9","L4-03, L4-04, L5-02, L8-01, L9-01"
