"Categoria","Elemento","Valor","Detalle"
"SistemaOperativo","Version","Microsoft Windows Server 2022 Standard","Build 20348 / Version 10.0.20348"
"SistemaOperativo","Arquitectura","64-bit","ServicePack 0.0"
"SistemaOperativo","FechaInstalacion","2023-03-10","1251 dias de antiguedad"
"SistemaOperativo","UltimoArranque","2026-07-25 17:20","18.7 dias de actividad continua"
"SistemaOperativo","DirectorioSistema","C:\Windows\system32","Idioma 1033"
"SistemaOperativo","Instalacion","Server con Experiencia de Escritorio","Mayor superficie de ataque que una instalacion Server Core."
"Licenciamiento","EstadoActivacion","Con licencia","Windows(R) Operating System, VOLUME_MAK channel"
"Tiempo","ZonaHoraria","(UTC-06:00) Central America","Bias -360 min"
"Tiempo","ServicioW32Time","Running / Automatic","Tipo=NTP Servidor=time.windows.com,0x8"
"Plataforma","PowerShell","5.1.20348.4294","Edicion Desktop"
"Plataforma","ExecutionPolicy","LocalMachine=RemoteSigned","CurrentUser=Undefined"
"Estado","ReinicioPendiente","Si","PendingFileRename"
