"FindingId","CollectorId","Layer","Severity","SeverityRank","Category","Title","Asset","Detail","Evidence","Criterios","CriteriosTexto","Recommendation","Host","DetectedAt"
"L2-02-3E41D643","L2-02","L2","Critical","5","Parcheo","Actualizaciones de seguridad criticas pendientes de instalacion","SRV-SAP","Hay 4 actualizaciones pendientes, de las cuales 1 estan clasificadas por MSRC como Critical o Important.","","VUL-01","VUL-01","Priorizar la instalacion de las actualizaciones criticas en la proxima ventana y registrar el cambio en el proceso formal de gestion de cambios.","SRV-SAP","2026-08-12T13:57:12"
"L2-02-9EBC371A","L2-02","L2","Critical","5","Parcheo","Latencia de parcheo fuera del umbral definido","SRV-SAP","La ultima actualizacion registrada es del 2026-04-30 (104 dias). El umbral establecido para este servidor es de 45 dias.","UltimoHotFix=KB5082142","VUL-01","VUL-01","Ejecutar el ciclo de actualizacion pendiente y verificar la conectividad del servidor con WSUS o el servicio de actualizacion corporativo.","SRV-SAP","2026-08-12T13:57:04"
"L2-03-6C669C80","L2-03","L2","High","4","Red","Perfiles de firewall de Windows deshabilitados","Domain, Private, Public","Los siguientes perfiles estan desactivados: Domain, Private, Public. El servidor queda sin filtrado de host en esos contextos de red.","","RED-01; RED-02","RED-01; RED-02","Habilitar todos los perfiles con accion entrante predeterminada Block y definir reglas explicitas solo para los servicios requeridos.","SRV-SAP","2026-08-12T13:57:15"
"L3-01-8FB44C50","L3-01","L3","High","4","CicloDeVida","Componente de plataforma fuera de soporte: Windows PowerShell 2.0 Engine","Windows PowerShell 2.0 Engine ","PSv2 sin registro de bloques de script. Deshabilitar la caracteristica.. Fin de soporte: 2017-01-01. Un componente sin soporte no recibe correcciones de seguridad.","Ruta: PowerShell-V2 | Origen: Get-WindowsFeature","SW-02; VUL-01; INV-01","SW-02; VUL-01; INV-01","Planificar la migracion a una version soportada o formalizar un plan de tratamiento del riesgo con controles compensatorios y fecha limite.","SRV-SAP","2026-08-12T13:57:17"
"L4-04-A538C4E8","L4-04","L4","High","4","IntegridadDeSoftware","Servicios o procesos ejecutando binarios sin firma digital","7 binarios","7 imagenes en ejecucion carecen de firma Authenticode. Estos binarios operan con los privilegios de su contexto sin que sea posible verificar su origen ni detectar modificaciones.","c:\Program Files\SAP\SAP Business One ServerTools\License Service\service\B1_License.exe <= Servicio: B1LicenseService | C:\Program Files\SAP\SAP Business One ServerTools\ServiceLayer\Apache\bin\httpd.exe <= Servicio: b1s50000; Servicio: b1s50001; Servicio: b1s50002; Servicio: b1s50003; Servicio: b1s50004; Servicio: b1s50005; Servicio: b1s50006; Servicio: b1s50007; Servicio: b1s50008; Servicio: b1s50009; Servicio: b1s50010 | C:\Program Files\SAP\SAP Business One SetupFiles\support\tools\nssm\nssm.exe <= Servicio: B1ServerToolsAuthentication | c:\Program Files\SAP\SAP Business One ServerTools\Mailer\B1_Mailer.exe <= Servicio: SBOMail | c:\Program Files\SAP\SAP Business One SLD Agent\sldagentservice\sldAgent.exe <= Servicio: SLDAgentOP | c:\Program Files\SAP\SAP Business One ServerTools\License Service\service\TAO_NT_CosNaming.exe <= Servicio: TAO_NT_Naming_Service | C:\windows_exporter\windows_exporter.exe <= Servicio: windows_exporter","SW-03; ARQ-01","SW-03; ARQ-01","Identificar el proveedor de cada binario y exigir entregables firmados. Registrar el hash SHA256 como linea base y monitorear su cambio entre ejecuciones de auditoria.","SRV-SAP","2026-08-12T13:57:58"
"L4-05-8FC18FBB","L4-05","L4","High","4","CicloDeVida","Software fuera de soporte del proveedor: Microsoft SQL Server 2012 Native Client","Microsoft SQL Server 2012 Native Client 11.4.7462.6","Fin de soporte: 2024-07-09 (hace 765 dias). Version de SQL Server fuera de soporte extendido. Un producto sin soporte no recibe correcciones para vulnerabilidades descubiertas despues de esa fecha.","Publicador: Microsoft Corporation | Instalado: 2023-03-08","SW-02; VUL-01; INV-01; SW-03","SW-02; VUL-01; INV-01; SW-03","Actualizar a una version soportada. Si la migracion no es viable a corto plazo, documentar la aceptacion del riesgo con aprobacion de la direccion, definir controles compensatorios (aislamiento de red, control de aplicaciones) y fijar una fecha limite de remediacion.","SRV-SAP","2026-08-12T13:58:00"
"L4-05-10557F4E","L4-05","L4","High","4","CicloDeVida","Software fuera de soporte del proveedor: Microsoft Access database engine 2010 (English)","Microsoft Access database engine 2010 (English) 14.0.7015.1000","Fin de soporte: 2020-10-13 (hace 2130 dias). Motor de base de datos Access fuera de soporte. Usado con frecuencia como puente ODBC/OLEDB entre aplicaciones. Un producto sin soporte no recibe correcciones para vulnerabilidades descubiertas despues de esa fecha.","Publicador: Microsoft Corporation | Instalado: 2023-05-24","SW-02; VUL-01; INV-01; SW-03","SW-02; VUL-01; INV-01; SW-03","Actualizar a una version soportada. Si la migracion no es viable a corto plazo, documentar la aceptacion del riesgo con aprobacion de la direccion, definir controles compensatorios (aislamiento de red, control de aplicaciones) y fijar una fecha limite de remediacion.","SRV-SAP","2026-08-12T13:58:00"
"L4-06-376CB46E","L4-06","L4","High","4","ConformidadArquitectonica","Artefactos con rol no alineado al proposito declarado del servidor","10 artefactos","El servidor esta declarado como 'Servidor de aplicaciones de negocio' en entorno de Produccion. Se detectaron 10 artefactos cuyo rol arquitectonico figura entre los NO esperados para este proposito: Multimedia y entretenimiento (1), Sincronizacion en nube (1), Herramienta de desarrollo (6), Navegador web (2). Cada uno amplia la superficie de ataque sin aportar a la funcion del activo.","obs-browser-plus 3.23.9 [Multimedia y entretenimiento] => C:\Program Files\obs-browser-plus | Microsoft OneDrive [Sincronizacion en nube] => C:\Program Files\Microsoft OneDrive\26.134.0713.0004 | Azure Data Studio [Herramienta de desarrollo] => C:\Program Files\Azure Data Studio | Microsoft Visual Studio Installer [Herramienta de desarrollo] => C:\Program Files (x86)\Microsoft Visual Studio\Installer | DevExpress Components 24.2 [Herramienta de desarrollo] => C:\Program Files\DevExpress 24.2\Components | Microsoft Edge [Navegador web] => C:\Program Files (x86)\Microsoft\Edge\Application | Microsoft Edge WebView2 Runtime [Navegador web] => C:\Program Files (x86)\Microsoft\EdgeWebView\Application | vs_CoreEditorFonts [Herramienta de desarrollo] =>  | Microsoft Visual Studio Tools for Applications 2019 [Herramienta de desarrollo] => C:\ProgramData\Package Cache\{f3fbabb4-bcfb-45eb-8fff-9b784fd68c38} | Microsoft Visual Studio Tools for Applications 2017 [Herramienta de desarrollo] => C:\ProgramData\Package Cache\{f895a2f1-ae3f-4212-8af1-7fa1f8c212ea}","SW-03; ARQ-01; ARQ-03","SW-03; ARQ-01; ARQ-03","Para cada artefacto: documentar la justificacion funcional o retirarlo. Si el rol es legitimo para este servidor, incorporarlo a RolesEsperados en Arquitectura.psd1 y dejar constancia de la decision arquitectonica.","SRV-SAP","2026-08-12T13:58:11"
"L5-01-425232A8","L5-01","L5","High","4","Privilegios","Servicios de terceros ejecutandose como LocalSystem","4 servicios","Servicios cuyo binario no proviene de rutas del sistema se ejecutan con la cuenta de mayor privilegio del equipo. Una vulnerabilidad en ellos implica compromiso total del servidor.","cloudResetPwdAgent [LocalSystem] => C:\CloudResetPwdAgent\bin\wrapper.exe | cloudResetPwdUpdateAgent [LocalSystem] => C:\CloudResetPwdUpdateAgent\bin\wrapper.exe | MDCoreSvc [LocalSystem] => C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26070.9-0\MpDefenderCoreService.exe | WinDefend [LocalSystem] => C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26070.9-0\MsMpEng.exe","ACC-02; ARQ-01","ACC-02; ARQ-01","Aplicar el principio de privilegio minimo: migrar a cuentas de servicio gestionadas (gMSA) o a NetworkService/LocalService cuando el producto lo soporte.","SRV-SAP","2026-08-12T13:58:12"
"L5-02-CEE7C7E3","L5-02","L5","High","4","Privilegios","Tareas programadas de terceros con privilegios maximos","1 tareas","Estas tareas se ejecutan como SYSTEM o con el nivel de privilegio mas alto. Si el script o binario invocado reside en una ubicacion escribible, cualquier usuario con acceso a esa ruta logra ejecucion privilegiada.","\OneDrive Per-Machine Standalone Update Task [SYSTEM [Highest]]","ACC-02; SW-03","ACC-02; SW-03","Reducir el nivel de privilegio al minimo necesario y proteger con ACL restrictivas los archivos que estas tareas invocan.","SRV-SAP","2026-08-12T13:58:13"
